[2020-12-09 16:59:08]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-12-09 16:59:10]	RCC - prev: {"nu":41,"lrn":5,"rev":106}, current: {"nu":40,"lrn":5,"rev":106}
[2020-12-09 16:59:10]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 16:59:11]	RCC - prev: {"nu":40,"lrn":5,"rev":106}, current: {"nu":40,"lrn":5,"rev":105}
[2020-12-09 16:59:11]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:59:13]	RCC - prev: {"nu":40,"lrn":5,"rev":105}, current: {"nu":40,"lrn":5,"rev":104}
[2020-12-09 16:59:13]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:59:19]	RCC - prev: {"nu":40,"lrn":5,"rev":104}, current: {"nu":39,"lrn":5,"rev":104}
[2020-12-09 16:59:19]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 16:59:20]	RCC - prev: {"nu":39,"lrn":5,"rev":104}, current: {"nu":39,"lrn":5,"rev":103}
[2020-12-09 16:59:20]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 16:59:25]	RCC - prev: {"nu":39,"lrn":5,"rev":103}, current: {"nu":39,"lrn":5,"rev":102}
[2020-12-09 16:59:25]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:00:49]	RCC - prev: {"nu":39,"lrn":5,"rev":102}, current: {"nu":38,"lrn":7,"rev":102}
[2020-12-09 17:00:49]	 - Output instruction: {"instType":1,"dy":0,"logType":"new"}
[2020-12-09 17:00:54]	RCC - prev: {"nu":38,"lrn":7,"rev":102}, current: {"nu":38,"lrn":7,"rev":101}
[2020-12-09 17:00:54]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:00:55]	RCC - prev: {"nu":38,"lrn":7,"rev":101}, current: {"nu":38,"lrn":7,"rev":100}
[2020-12-09 17:00:55]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:00:56]	RCC - prev: {"nu":38,"lrn":7,"rev":100}, current: {"nu":37,"lrn":7,"rev":100}
[2020-12-09 17:00:56]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 17:01:10]	RCC - prev: {"nu":37,"lrn":7,"rev":100}, current: {"nu":37,"lrn":7,"rev":99}
[2020-12-09 17:01:10]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:01:11]	RCC - prev: {"nu":37,"lrn":7,"rev":99}, current: {"nu":32,"lrn":8,"rev":97}
[2020-12-09 17:01:11]	 - Output instruction: {"instType":0}
[2020-12-09 17:01:12]	RCC - prev: {"nu":32,"lrn":8,"rev":97}, current: {"nu":32,"lrn":8,"rev":96}
[2020-12-09 17:01:12]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:01:20]	RCC - prev: {"nu":32,"lrn":8,"rev":96}, current: {"nu":32,"lrn":8,"rev":95}
[2020-12-09 17:01:20]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:01:30]	RCC - prev: {"nu":32,"lrn":8,"rev":95}, current: {"nu":32,"lrn":8,"rev":95}
[2020-12-09 17:01:30]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-12-09 17:01:32]	RCC - prev: {"nu":32,"lrn":8,"rev":95}, current: {"nu":32,"lrn":8,"rev":94}
[2020-12-09 17:01:32]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:01:56]	RCC - prev: {"nu":32,"lrn":8,"rev":94}, current: {"nu":32,"lrn":8,"rev":93}
[2020-12-09 17:01:56]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:02:03]	RCC - prev: {"nu":32,"lrn":8,"rev":93}, current: {"nu":32,"lrn":8,"rev":93}
[2020-12-09 17:02:03]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-12-09 17:02:12]	RCC - prev: {"nu":32,"lrn":8,"rev":93}, current: {"nu":32,"lrn":8,"rev":92}
[2020-12-09 17:02:12]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:02:35]	RCC - prev: {"nu":32,"lrn":8,"rev":92}, current: {"nu":32,"lrn":8,"rev":91}
[2020-12-09 17:02:35]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:04:59]	 - Output instruction: {"instType":0}
[2020-12-09 17:05:01]	RCC - prev: {"nu":42,"lrn":12,"rev":108}, current: {"nu":42,"lrn":11,"rev":108}
[2020-12-09 17:05:01]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:05:02]	RCC - prev: {"nu":42,"lrn":11,"rev":108}, current: {"nu":42,"lrn":10,"rev":108}
[2020-12-09 17:05:02]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:05:29]	RCC - prev: {"nu":42,"lrn":10,"rev":108}, current: {"nu":42,"lrn":10,"rev":107}
[2020-12-09 17:05:29]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:05:30]	 - Output instruction: {"instType":3}
[2020-12-09 17:05:36]	RCC - prev: {"nu":42,"lrn":10,"rev":108}, current: {"nu":42,"lrn":10,"rev":107}
[2020-12-09 17:05:36]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:05:45]	RCC - prev: {"nu":42,"lrn":10,"rev":107}, current: {"nu":41,"lrn":10,"rev":107}
[2020-12-09 17:05:45]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 17:05:48]	RCC - prev: {"nu":41,"lrn":10,"rev":107}, current: {"nu":41,"lrn":10,"rev":106}
[2020-12-09 17:05:48]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:05:53]	RCC - prev: {"nu":41,"lrn":10,"rev":106}, current: {"nu":41,"lrn":10,"rev":105}
[2020-12-09 17:05:53]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:05:56]	RCC - prev: {"nu":41,"lrn":10,"rev":105}, current: {"nu":40,"lrn":10,"rev":105}
[2020-12-09 17:05:56]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 17:05:57]	RCC - prev: {"nu":40,"lrn":10,"rev":105}, current: {"nu":40,"lrn":10,"rev":104}
[2020-12-09 17:05:57]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:05:59]	RCC - prev: {"nu":40,"lrn":10,"rev":104}, current: {"nu":40,"lrn":10,"rev":103}
[2020-12-09 17:05:59]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:06:02]	RCC - prev: {"nu":40,"lrn":10,"rev":103}, current: {"nu":39,"lrn":10,"rev":103}
[2020-12-09 17:06:02]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-12-09 17:12:47]	RCC - prev: {"nu":39,"lrn":10,"rev":103}, current: {"nu":39,"lrn":16,"rev":100}
[2020-12-09 17:12:47]	 - Output instruction: {"instType":1,"dy":-3,"logType":"rev-again"}
[2020-12-09 17:12:51]	RCC - prev: {"nu":39,"lrn":16,"rev":100}, current: {"nu":39,"lrn":16,"rev":99}
[2020-12-09 17:12:51]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
[2020-12-09 17:12:58]	RCC - prev: {"nu":39,"lrn":16,"rev":99}, current: {"nu":39,"lrn":15,"rev":99}
[2020-12-09 17:12:58]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:12:59]	RCC - prev: {"nu":39,"lrn":15,"rev":99}, current: {"nu":39,"lrn":14,"rev":99}
[2020-12-09 17:12:59]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:13:11]	RCC - prev: {"nu":39,"lrn":14,"rev":99}, current: {"nu":39,"lrn":14,"rev":97}
[2020-12-09 17:13:11]	 - Output instruction: {"instType":1,"dy":2,"logType":"rev-good"}
[2020-12-09 17:13:14]	RCC - prev: {"nu":39,"lrn":14,"rev":97}, current: {"nu":39,"lrn":13,"rev":97}
[2020-12-09 17:13:14]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:13:18]	RCC - prev: {"nu":39,"lrn":13,"rev":97}, current: {"nu":39,"lrn":12,"rev":97}
[2020-12-09 17:13:18]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:13:19]	RCC - prev: {"nu":39,"lrn":12,"rev":97}, current: {"nu":39,"lrn":11,"rev":97}
[2020-12-09 17:13:19]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:13:21]	RCC - prev: {"nu":39,"lrn":11,"rev":97}, current: {"nu":39,"lrn":10,"rev":97}
[2020-12-09 17:13:21]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:13:25]	RCC - prev: {"nu":39,"lrn":10,"rev":97}, current: {"nu":39,"lrn":9,"rev":97}
[2020-12-09 17:13:25]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:13:29]	RCC - prev: {"nu":39,"lrn":9,"rev":97}, current: {"nu":39,"lrn":8,"rev":97}
[2020-12-09 17:13:29]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:13:30]	RCC - prev: {"nu":39,"lrn":8,"rev":97}, current: {"nu":39,"lrn":7,"rev":97}
[2020-12-09 17:13:30]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:13:31]	RCC - prev: {"nu":39,"lrn":7,"rev":97}, current: {"nu":39,"lrn":6,"rev":97}
[2020-12-09 17:13:31]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-12-09 17:14:09]	RCC - prev: {"nu":39,"lrn":6,"rev":97}, current: {"nu":39,"lrn":6,"rev":96}
[2020-12-09 17:14:09]	 - Output instruction: {"instType":1,"dy":1,"logType":"rev-good"}
